2025-07-29 21:23:54 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-07-29 21:23:54 - price_service - INFO - Initializing price service module
2025-07-29 21:23:54 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-07-29 21:23:54 - price_service - INFO - Initializing price service module
2025-07-29 21:23:54 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-07-29 21:23:54 - price_service - INFO - Initializing price service module
2025-07-29 21:23:56 - price_service - INFO - Initializing price service module
2025-07-29 21:23:56 - price_service - INFO - Initializing price service module
2025-07-29 21:23:57 - price_service - INFO - Initializing price service module
2025-07-29 21:29:29 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-07-29 21:29:29 - price_service - INFO - Initializing price service module
2025-07-29 21:29:30 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-07-29 21:29:30 - price_service - INFO - Initializing price service module
2025-07-29 21:29:30 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-07-29 21:29:30 - price_service - INFO - Initializing price service module
2025-07-29 21:29:31 - price_service - INFO - Initializing price service module
2025-07-29 21:29:32 - price_service - INFO - Initializing price service module
2025-07-29 21:29:32 - price_service - INFO - Initializing price service module
2025-07-29 21:33:24 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-07-29 21:33:24 - price_service - INFO - Initializing price service module
2025-07-29 21:33:25 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-07-29 21:33:25 - price_service - INFO - Initializing price service module
2025-07-29 21:33:25 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-07-29 21:33:25 - price_service - INFO - Initializing price service module
2025-07-29 21:33:26 - price_service - INFO - Initializing price service module
2025-07-29 21:33:27 - price_service - INFO - Initializing price service module
2025-07-29 21:33:27 - price_service - INFO - Initializing price service module
2025-07-29 21:57:55 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 09:30:24 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 09:30:24 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 09:30:25 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 09:30:25 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 09:30:25 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 09:30:25 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 09:30:25 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 09:30:25 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 09:30:27 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 09:30:27 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 09:30:27 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 09:30:27 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 09:30:27 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 09:30:27 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 09:30:28 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 09:30:28 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 09:30:28 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 09:30:28 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 09:30:28 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 09:30:28 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 09:30:28 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 09:30:28 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 09:30:28 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 09:30:28 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 09:30:28 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 09:30:28 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 09:30:30 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 09:30:30 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 09:30:30 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 09:30:30 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 09:30:30 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 09:30:30 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 10:21:27 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 10:21:27 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 10:21:27 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 10:21:27 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 10:21:27 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 10:21:27 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 10:29:35 - price_service - ERROR - Price update failed after 0.00 seconds
2025-07-30 10:34:12 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 10:34:12 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 10:34:12 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 10:34:12 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 10:34:12 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 10:34:12 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 10:34:17 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 10:34:17 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 10:34:17 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 10:34:17 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 10:34:17 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 10:34:17 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 10:35:11 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 10:35:11 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 10:35:11 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 10:35:11 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 10:35:11 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 10:35:11 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 10:35:11 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 10:35:11 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 10:35:11 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 10:35:11 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 10:35:11 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 10:35:11 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 10:35:11 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 10:35:11 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 10:35:11 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 10:35:11 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 10:35:11 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 10:35:11 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 10:51:37 - price_service - ERROR - Price update failed after 0.01 seconds
2025-07-30 10:51:56 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 10:51:56 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 10:51:56 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 10:51:56 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 10:51:56 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 10:51:56 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 10:52:04 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 10:52:04 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 10:52:04 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 10:52:04 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 10:52:04 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 10:52:04 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 10:52:04 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 10:52:04 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 10:52:04 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 10:52:04 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 10:52:04 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 10:52:04 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 10:52:04 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 10:52:04 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 10:52:04 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 10:52:04 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 10:52:04 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 10:52:04 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 11:35:17 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 11:35:17 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 11:35:17 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 11:35:17 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 11:35:17 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 11:35:17 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 11:35:19 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 11:35:19 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 11:35:19 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 11:35:19 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 11:35:19 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 11:35:19 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 11:35:19 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 11:35:19 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 11:35:19 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 11:35:19 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 11:35:19 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 11:35:19 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 11:35:19 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 11:35:19 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 11:35:19 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 11:35:19 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 11:35:19 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 11:35:19 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 11:37:01 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 11:37:01 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 11:37:01 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 11:37:01 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 11:37:01 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 11:37:01 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 11:37:01 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 11:37:01 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 11:37:01 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 11:37:01 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 11:37:01 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 11:37:01 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 11:37:01 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 11:37:01 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 11:37:01 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 11:37:01 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 11:37:01 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 11:37:01 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 11:37:09 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 11:37:09 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 11:37:09 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 11:37:09 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 11:37:09 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 11:37:09 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 11:37:09 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 11:37:09 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 11:37:09 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 11:37:09 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 11:37:09 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 11:37:09 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 11:37:09 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 11:37:09 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 11:37:09 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 11:37:09 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 11:37:09 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 11:37:09 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 11:37:10 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 11:37:10 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 11:37:10 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 11:37:10 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 11:37:10 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 11:37:10 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 11:37:49 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 11:37:49 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 11:37:49 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 11:37:49 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 11:37:49 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 11:37:49 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 11:37:50 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 11:37:50 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 11:37:50 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 11:37:50 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 11:37:50 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 11:37:50 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 11:37:50 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 11:37:50 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 11:37:50 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 11:37:50 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 11:37:50 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 11:37:50 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 11:53:04 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 11:53:04 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 11:53:04 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 11:53:04 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 11:53:04 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 11:53:04 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 11:53:04 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 11:53:04 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 11:53:04 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 11:53:04 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 11:53:04 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 11:53:04 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 11:53:05 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 11:53:05 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 11:53:05 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 11:53:05 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 11:53:05 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 11:53:05 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 12:10:40 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 12:10:40 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 12:10:40 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 12:10:40 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 12:10:40 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 12:10:40 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 12:10:40 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 12:10:40 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 12:10:40 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 12:10:40 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 12:10:40 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 12:10:40 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 12:10:40 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 12:10:40 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 12:10:40 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 12:10:40 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 12:10:40 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 12:10:40 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 12:17:32 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 12:17:32 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 12:17:32 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 12:17:32 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 12:17:32 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 12:17:32 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 12:17:32 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 12:17:32 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 12:17:32 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 12:17:32 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 12:17:32 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 12:17:32 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 12:17:33 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 12:17:33 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 12:17:33 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 12:17:33 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 12:17:33 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 12:17:33 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 12:18:21 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 12:18:21 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 12:18:21 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 12:18:21 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 12:18:21 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 12:18:21 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 12:18:21 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 12:18:21 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 12:18:21 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 12:18:21 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 12:18:21 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 12:18:21 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 12:18:21 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 12:18:21 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 12:18:21 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 12:18:21 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 12:18:21 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 12:18:21 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 12:21:03 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 12:21:03 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 12:21:03 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 12:21:03 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 12:21:03 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 12:21:03 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 12:21:03 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 12:21:03 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 12:21:03 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 12:21:03 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 12:21:03 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 12:21:03 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 12:21:04 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 12:21:04 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 12:21:04 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 12:21:04 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 12:21:04 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 12:21:04 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 12:21:44 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 12:21:44 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 12:21:44 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 12:21:44 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 12:21:44 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 12:21:44 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 12:21:44 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 12:21:44 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 12:21:44 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 12:21:44 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 12:21:44 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 12:21:44 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 12:21:45 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 12:21:45 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 12:21:45 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 12:21:45 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 12:21:45 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 12:21:45 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 12:21:53 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 12:21:53 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 12:21:53 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 12:21:53 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 12:21:53 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 12:21:53 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 12:21:54 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 12:21:54 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 12:21:54 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 12:21:54 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 12:21:54 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 12:21:54 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 12:21:54 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 12:21:54 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 12:21:54 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 12:21:54 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 12:21:54 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 12:21:54 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 12:21:54 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 12:21:54 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 12:21:54 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 12:21:54 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 12:21:54 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 12:21:54 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 12:22:24 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 12:22:24 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 12:22:24 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 12:22:24 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 12:22:24 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 12:22:24 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 12:22:25 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 12:22:25 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 12:22:25 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 12:22:25 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 12:22:25 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 12:22:25 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 12:22:25 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 12:22:25 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 12:22:25 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 12:22:25 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 12:22:25 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 12:22:25 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-07-30 12:22:51 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-07-30 12:22:51 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-07-30 12:22:51 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-07-30 12:22:51 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-07-30 12:22:51 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-07-30 12:22:51 - price_service - WARNING - No price record found for 8 in USD, using default values
